id,value
1,127351.45
2,103760.25
3,90369.266
4,95971.42
5,138075.45
6,106061.22
7,202022.1
8,54345.992
9,87774.516
10,85448.62
11,467146.72
12,94221.99
13,55392.508
14,134708.8
15,142827.2
16,86784.66
17,83722.42
18,255720.31
19,73818.55
20,84142.33
21,178638.7
22,107961.15
23,71617.54
24,92527.625
25,86342.99
26,77703.87
27,78960.53
28,112009.195
29,99301.81
30,78268.1
31,82909.61
32,165275.4
33,56734.465
34,148256.64
35,103944.73
36,199272.73
37,137277.48
38,76625.28
39,81339.48
40,140612.53
41,87797.54
42,225193.1
43,39021.426
44,39138.496
45,85124.5
46,127818.39
47,127748.305
48,111498.03
49,91872.19
50,63615.066
51,2226879.2
52,88115.32
53,71278.2
54,113673.96
55,65960.29
56,47679.72
57,86981.72
58,58155.61
59,420643.3
60,80384.695
61,277100.9
62,126967.63
63,290083.6
64,46763.727
65,121763.06
66,141283.31
67,116250.805
68,108060.15
69,143265.86
70,111785.695
71,206332.89
72,96307.58
73,70659.72
74,75002.69
75,366708.0
76,33811.184
77,66027.67
78,540555.75
79,94236.74
80,61261.39
81,92023.37
82,101841.35
83,68892.78
84,240131.2
85,110884.69
86,102599.805
87,97858.81
88,110729.195
89,49097.227
90,74871.16
91,206284.77
92,126552.18
93,52931.85
94,60905.273
95,101035.125
96,76087.23
97,83862.18
98,71483.95
99,48681.65
100,100115.5
101,128926.125
102,92192.46
103,183708.75
104,100872.18
105,64031.074
106,82223.414
107,630292.1
108,127109.72
109,44957.65
110,71621.32
111,103933.03
112,72265.086
113,64962.875
114,96526.2
115,110540.34
116,84310.516
117,108227.24
118,48329.918
119,396923.1
120,59125.13
121,73370.09
122,780948.0
123,87629.64
124,107411.766
125,1232031.2
126,191791.55
127,51665.336
128,94016.09
129,72794.01
130,75593.62
131,121591.266
132,98392.22
133,55817.06
134,99937.37
135,118159.04
136,106156.7
137,283742.03
138,87616.734
139,117950.336
140,146667.22
141,101303.2
142,73589.45
143,72908.02
144,76968.38
145,85733.68
146,166793.62
147,99806.61
148,55572.004
149,224705.95
150,105849.56
151,83838.33
152,126076.8
153,292937.62
154,99558.39
155,124656.086
156,142580.77
157,60751.516
158,48837.23
159,107592.02
160,95557.586
161,139202.28
162,216490.98
163,55003.715
164,132718.28
165,44724.25
166,74438.055
167,67030.445
168,77139.625
169,104883.4
170,109713.555
171,87288.555
172,102344.734
173,95335.914
174,286604.2
175,114948.914
176,101495.64
177,526778.0
178,106744.555
179,200023.75
180,104181.336
181,186656.16
182,104887.68
183,70898.78
184,45235.02
185,88378.53
186,69858.35
187,114372.51
188,186053.73
189,107083.98
190,91232.47
191,76542.3
192,258601.48
193,94693.62
194,49022.51
195,133399.52
196,141931.88
197,87013.945
198,86608.12
199,93952.19
200,109246.91
201,79593.875
202,160337.53
203,101937.78
204,86615.75
205,81572.56
206,95394.37
207,45313.934
208,152780.84
209,84807.914
210,96106.08
211,53392.76
212,52346.55
213,59355.21
214,80796.91
215,161751.38
216,257281.48
217,74171.34
218,778373.4
219,38185.79
220,125666.61
221,82646.97
222,320073.84
223,101496.99
224,102080.66
225,233601.1
226,92604.32
227,48503.6
228,151426.58
229,103475.836
230,94654.3
231,88895.23
232,115764.664
233,88382.664
234,45445.92
235,242838.23
236,108786.33
237,70371.39
238,82780.29
239,77236.445
240,954487.94
241,108362.53
242,86704.805
243,163468.12
244,34480.14
245,203473.28
246,61239.0
247,70284.63
248,76590.516
249,147122.75
250,42635.87
251,59438.79
252,109511.13
253,101738.13
254,87354.08
255,43001.246
256,186093.31
257,126449.25
258,1071942.1
259,112181.34
260,165632.73
261,162858.73
262,97125.484
263,98155.11
264,109088.66
265,80298.24
266,87711.81
267,83731.234
268,169723.38
269,154578.12
270,77059.17
271,143305.52
272,118916.62
273,207446.12
274,84577.47
275,133167.7
276,56416.035
277,97028.32
278,92535.36
279,86152.9
280,89972.52
281,385854.06
282,91133.414
283,163486.86
284,126823.1
285,78510.06
286,366178.1
287,113993.09
288,87832.984
289,109214.8
290,105850.35
291,97703.164
292,112558.39
293,101751.23
294,107193.516
295,118191.5
296,68881.74
297,82129.26
298,73759.73
299,45590.22
300,54238.047
301,70422.51
302,44461.25
303,78547.16
304,135156.5
305,87211.55
306,42635.87
307,274366.34
308,75076.164
309,66418.74
310,174868.11
311,50513.477
312,145999.3
313,123663.266
314,104412.93
315,95477.086
316,76519.01
317,96137.516
318,71624.41
319,156067.6
320,74251.89
321,99823.37
322,68573.43
323,82950.89
324,78674.32
325,186125.58
326,94191.51
327,63891.86
328,100254.88
329,50513.477
330,68513.734
331,115836.59
332,87651.36
333,112880.13
334,137399.69
335,81644.33
336,103943.72
337,73635.195
338,227116.83
339,158300.92
340,90824.45
341,57512.883
342,97229.91
343,83940.914
344,273070.0
345,99712.086
346,104614.46
347,88515.32
348,72011.28
349,103314.1
350,99907.13
351,136959.48
352,101801.66
353,52793.53
354,57210.156
355,44187.426
356,100856.914
357,252479.11
358,103976.3
359,77874.13
360,73718.08
361,118694.66
362,43282.54
363,129588.79
364,56822.46
365,152600.12
366,186530.7
367,120530.234
368,301920.94
369,133024.92
370,129510.484
371,141504.03
372,348249.12
373,105584.195
374,75287.54
375,124042.77
376,156345.36
377,77834.25
378,99736.05
379,134939.39
380,151476.55
381,73726.6
382,95928.41
383,42201.816
384,86972.766
385,137388.25
386,144447.38
387,163576.1
388,108086.78
389,104585.21
390,97267.23
391,181785.73
392,120717.59
393,82031.83
394,81710.945
395,57034.355
396,144882.72
397,156798.56
398,74685.87
399,58677.33
400,127524.66
401,88168.51
402,139759.05
403,458286.22
404,200416.2
405,263663.56
406,40260.58
407,173957.66
408,284779.94
409,146837.8
410,341211.28
411,67223.766
412,98291.75
413,101329.79
414,135379.55
415,98513.89
416,88793.23
417,56618.45
418,84411.62
419,103607.98
420,529645.6
421,97292.7
422,153125.9
423,158799.25
424,161240.05
425,299305.9
426,79921.55
427,170072.28
428,83465.0
429,71769.336
430,86447.81
431,116438.21
432,94045.78
433,69196.97
434,86159.65
435,127877.055
436,79698.06
437,111198.69
438,89025.16
439,175836.0
440,80626.52
441,111341.85
442,49662.87
443,52559.598
444,80845.56
445,75119.734
446,85892.984
447,48785.305
448,88631.46
449,98801.555
450,105295.43
451,66677.31
452,129832.63
453,85794.12
454,198178.33
455,211920.33
456,482692.25
457,78020.69
458,79887.84
459,41474.836
460,239971.77
461,42022.676
462,363308.9
463,66426.83
464,277442.9
465,59983.414
466,110491.055
467,110614.57
468,61823.555
469,178057.42
470,243992.88
471,94162.164
472,57792.926
473,61131.836
474,73171.57
475,119037.22
476,101887.51
477,92613.14
478,192614.64
479,92083.97
480,221468.52
481,94496.89
482,104689.984
483,70597.96
484,93998.87
485,45326.867
486,127840.016
487,76721.086
488,56156.293
489,89835.04
490,194459.84
491,386055.78
492,202838.98
493,73329.945
494,85606.664
495,118207.64
496,105088.16
497,65314.516
498,106232.164
499,95579.85
500,126171.65
501,109796.055
502,70372.08
503,48311.07
504,78703.945
505,177739.25
506,200095.38
507,53846.953
508,196821.47
509,101419.93
510,62235.492
511,159344.95
512,90449.44
513,168308.4
514,49097.227
515,52311.953
516,74478.47
517,83281.664
518,261217.33
519,163891.62
520,112639.875
521,158847.77
522,66969.76
523,100454.67
524,233752.84
525,87294.53
526,128145.06
527,48005.934
528,55045.89
529,83180.63
530,88496.695
531,132589.7
532,255276.14
533,86990.13
534,75233.266
535,154735.19
536,223493.34
537,54112.574
538,73248.63
539,239780.17
540,202842.12
541,90007.93
542,47628.07
543,127664.42
544,111447.1
545,80038.56
546,80322.25
547,100123.125
548,91335.1
549,97931.125
550,73977.734
551,54452.75
552,48665.562
553,84304.31
554,53649.137
555,132871.16
556,79861.25
557,41992.42
558,121563.234
559,663089.7
560,91873.82
561,254381.1
562,121354.51
563,76588.28
564,87793.95
565,85329.22
566,78122.695
567,138825.84
568,87334.41
569,138259.03
570,97532.19
571,91322.52
572,168944.94
573,99109.0
574,126068.13
575,104140.08
576,78808.52
577,113941.07
578,342978.78
579,83557.016
580,46771.395
581,171243.78
582,46906.34
583,121777.31
584,91516.414
585,51307.41
586,127312.9
587,84093.58
588,74177.75
589,73036.09
590,129579.5
591,74231.38
592,103817.46
593,161455.55
594,196670.44
595,114041.055
596,70991.45
597,53195.383
598,75201.414
599,100748.58
600,92686.836
601,114772.914
602,62330.438
603,119174.08
604,101348.18
605,78919.41
606,106023.01
607,117091.516
608,100828.97
609,804649.75
610,84102.95
611,169648.12
612,59656.734
613,274929.38
614,103158.9
615,196762.08
616,84192.31
617,64725.34
618,53215.26
619,106743.17
620,106321.484
621,131370.47
622,254013.6
623,86658.84
624,89195.086
625,148419.14
626,76434.02
627,143134.42
628,123774.45
629,88621.45
630,92454.195
631,57198.31
632,90591.38
633,134242.66
634,83956.13
635,36447.434
636,89860.38
637,222962.9
638,352769.97
639,125264.086
640,98314.336
641,48503.6
642,47654.055
643,160016.9
644,85442.82
645,124799.34
646,180606.36
647,75119.734
648,89248.625
649,165470.31
650,783064.5
651,278044.0
652,90089.66
653,98339.75
654,51903.344
655,84718.38
656,88484.26
657,131555.67
658,110589.03
659,181607.31
660,126585.19
661,167872.9
662,187305.7
663,167472.72
664,91177.336
665,115227.89
666,60549.438
667,75232.77
668,64930.38
669,69875.48
670,102046.39
671,110435.555
672,67904.8
673,84975.414
674,130248.12
675,98281.695
676,77441.32
677,151855.6
678,84311.33
679,79145.31
680,96348.99
681,75657.055
682,83864.516
683,86611.67
684,94755.25
685,89320.375
686,47158.14
687,104509.87
688,48013.82
689,71770.42
690,245041.39
691,129513.93
692,49361.48
693,231680.95
694,197507.11
695,81059.305
696,112600.81
697,62771.395
698,128250.81
699,63864.156
700,117682.69
701,111239.35
702,103955.56
703,208413.95
704,101632.89
705,164387.25
706,64108.3
707,91053.14
708,86608.12
709,137010.38
710,160927.0
711,48061.445
712,60580.75
713,47288.023
714,75739.92
715,242313.22
716,118254.87
717,265966.0
718,231273.55
719,79887.84
720,66900.38
721,44977.94
722,158115.1
723,92582.35
724,91773.84
725,121789.23
726,72949.93
727,82245.734
728,72267.03
729,46185.11
730,45590.22
731,105893.82
732,99822.65
733,120620.22
734,119105.54
735,69584.17
736,49090.926
737,196975.75
738,112045.375
739,108086.78
740,93080.6
741,93621.79
742,44461.25
743,167682.83
744,110261.03
745,63350.727
746,117873.11
747,175491.6
748,432778.53
749,90538.71
750,98487.78
751,71278.2
752,61237.395
753,94838.82
754,65727.61
755,305484.5
756,163742.69
757,87435.08
758,100173.73
759,63172.24
760,117132.99
761,444473.25
